




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (7291)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
response to extracellular stimulus (GO:0009991)	531	242	187.98	+	1.29	1.19E-03	4.12E-02
nitrogen compound transport (GO:0071705)	1708	778	604.66	+	1.29	1.86E-09	2.10E-07
positive regulation of apoptotic process (GO:0043065)	560	255	198.25	+	1.29	8.97E-04	3.30E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	275	213.83	+	1.29	5.15E-04	2.07E-02
positive regulation of transferase activity (GO:0051347)	693	315	245.33	+	1.28	2.24E-04	9.74E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1309	1019.57	+	1.28	1.06E-15	2.46E-13
localization within membrane (GO:0051668)	615	279	217.72	+	1.28	5.70E-04	2.24E-02
protein-containing complex subunit organization (GO:0043933)	1605	726	568.20	+	1.28	1.66E-08	1.63E-06
positive regulation of programmed cell death (GO:0043068)	575	260	203.56	+	1.28	1.04E-03	3.72E-02
cytoskeleton organization (GO:0007010)	1212	548	429.07	+	1.28	1.40E-06	1.03E-04
cellular nitrogen compound metabolic process (GO:0034641)	3395	1530	1201.89	+	1.27	1.43E-17	4.33E-15
cellular localization (GO:0051641)	2985	1345	1056.74	+	1.27	2.98E-15	6.72E-13
cellular catabolic process (GO:0044248)	1812	816	641.48	+	1.27	3.48E-09	3.79E-07
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1168	918.68	+	1.27	4.91E-13	8.53E-11
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1785	1404.74	+	1.27	1.13E-20	4.47E-18
organic cyclic compound metabolic process (GO:1901360)	3182	1431	1126.49	+	1.27	4.21E-16	1.04E-13
head development (GO:0060322)	803	361	284.28	+	1.27	1.53E-04	6.98E-03
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1796	1415.72	+	1.27	1.43E-20	5.39E-18
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1818	1433.42	+	1.27	7.10E-21	2.88E-18
negative regulation of metabolic process (GO:0009892)	3095	1389	1095.69	+	1.27	2.55E-15	5.85E-13
regulation of phosphate metabolic process (GO:0019220)	1578	708	558.64	+	1.27	6.86E-08	5.99E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	708	558.64	+	1.27	6.86E-08	5.96E-06
tube development (GO:0035295)	856	384	303.04	+	1.27	1.08E-04	5.11E-03
negative regulation of gene expression (GO:0010629)	999	448	353.66	+	1.27	2.53E-05	1.42E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2573	2032.06	+	1.27	4.82E-32	4.48E-29
regulation of cellular biosynthetic process (GO:0031326)	4163	1866	1473.78	+	1.27	3.01E-21	1.36E-18
negative regulation of protein metabolic process (GO:0051248)	1112	498	393.67	+	1.27	1.00E-05	6.23E-04
lipid biosynthetic process (GO:0008610)	630	282	223.03	+	1.26	1.11E-03	3.95E-02
regulation of transcription, DNA-templated (GO:0006355)	3474	1555	1229.86	+	1.26	4.78E-17	1.43E-14
establishment of localization in cell (GO:0051649)	2335	1045	826.63	+	1.26	3.46E-11	4.72E-09
regulation of intracellular signal transduction (GO:1902531)	1839	823	651.04	+	1.26	6.55E-09	6.81E-07
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1555	1230.21	+	1.26	5.57E-17	1.63E-14
regulation of primary metabolic process (GO:0080090)	5925	2650	2097.56	+	1.26	8.18E-33	8.62E-30
regulation of cellular metabolic process (GO:0031323)	6138	2745	2172.96	+	1.26	1.86E-34	2.45E-31
regulation of RNA biosynthetic process (GO:2001141)	3480	1556	1231.98	+	1.26	6.70E-17	1.93E-14
protein metabolic process (GO:0019538)	4203	1878	1487.94	+	1.26	6.41E-21	2.66E-18
cellular biosynthetic process (GO:0044249)	2715	1213	961.16	+	1.26	7.16E-13	1.23E-10
regulation of biosynthetic process (GO:0009889)	4226	1888	1496.08	+	1.26	4.78E-21	2.04E-18
positive regulation of cell death (GO:0010942)	638	285	225.86	+	1.26	1.05E-03	3.75E-02
regulation of RNA metabolic process (GO:0051252)	3782	1689	1338.90	+	1.26	2.26E-18	7.29E-16
regulation of anatomical structure morphogenesis (GO:0022603)	967	431	342.34	+	1.26	5.56E-05	2.84E-03
biosynthetic process (GO:0009058)	2865	1275	1014.26	+	1.26	3.58E-13	6.35E-11
organic substance transport (GO:0071702)	2079	925	736.00	+	1.26	1.66E-09	1.90E-07
organic substance biosynthetic process (GO:1901576)	2803	1246	992.31	+	1.26	9.08E-13	1.54E-10
negative regulation of cellular protein metabolic process (GO:0032269)	1040	462	368.18	+	1.25	3.97E-05	2.12E-03
organelle assembly (GO:0070925)	796	353	281.80	+	1.25	4.08E-04	1.68E-02
cell projection organization (GO:0030030)	1221	541	432.26	+	1.25	9.48E-06	5.92E-04
negative regulation of cellular process (GO:0048523)	4902	2167	1735.40	+	1.25	5.21E-23	2.65E-20
cellular metabolic process (GO:0044237)	7542	3332	2670.00	+	1.25	5.07E-42	1.14E-38
nitrogen compound metabolic process (GO:0006807)	6886	3040	2437.77	+	1.25	3.22E-36	5.09E-33
positive regulation of transport (GO:0051050)	947	418	335.26	+	1.25	1.49E-04	6.82E-03
brain development (GO:0007420)	759	335	268.70	+	1.25	7.45E-04	2.82E-02
macromolecule metabolic process (GO:0043170)	6151	2713	2177.56	+	1.25	1.86E-30	1.47E-27
negative regulation of programmed cell death (GO:0043069)	914	403	323.57	+	1.25	2.18E-04	9.56E-03
organophosphate metabolic process (GO:0019637)	894	394	316.49	+	1.24	2.73E-04	1.17E-02
regulation of developmental process (GO:0050793)	2461	1084	871.24	+	1.24	2.50E-10	3.14E-08
protein-containing complex assembly (GO:0065003)	1358	598	480.76	+	1.24	5.63E-06	3.74E-04
apoptotic process (GO:0006915)	913	402	323.22	+	1.24	2.44E-04	1.05E-02
primary metabolic process (GO:0044238)	7352	3237	2602.74	+	1.24	4.69E-39	9.27E-36
negative regulation of apoptotic process (GO:0043066)	895	394	316.85	+	1.24	2.75E-04	1.18E-02
cellular component assembly (GO:0022607)	2494	1096	882.92	+	1.24	2.75E-10	3.42E-08
cellular component biogenesis (GO:0044085)	2754	1210	974.97	+	1.24	2.40E-11	3.33E-09
cell morphogenesis (GO:0000902)	715	314	253.12	+	1.24	1.45E-03	4.86E-02
plasma membrane bounded cell projection organization (GO:0120036)	1175	516	415.97	+	1.24	3.42E-05	1.85E-03
circulatory system development (GO:0072359)	877	385	310.47	+	1.24	3.95E-04	1.63E-02
catabolic process (GO:0009056)	2096	919	742.02	+	1.24	1.66E-08	1.64E-06
regulation of cell differentiation (GO:0045595)	1586	694	561.47	+	1.24	1.57E-06	1.14E-04
negative regulation of cell death (GO:0060548)	1008	441	356.85	+	1.24	1.78E-04	7.94E-03
positive regulation of catalytic activity (GO:0043085)	1240	542	438.98	+	1.23	2.90E-05	1.61E-03
organonitrogen compound metabolic process (GO:1901564)	5246	2291	1857.18	+	1.23	2.12E-22	1.05E-19
response to abiotic stimulus (GO:0009628)	1175	513	415.97	+	1.23	5.53E-05	2.83E-03
positive regulation of cellular process (GO:0048522)	5741	2506	2032.42	+	1.23	4.55E-25	3.00E-22
regulation of cell communication (GO:0010646)	3509	1530	1242.25	+	1.23	1.11E-13	2.10E-11
regulation of signal transduction (GO:0009966)	3128	1363	1107.37	+	1.23	5.13E-12	7.95E-10
proteolysis (GO:0006508)	1306	569	462.35	+	1.23	2.44E-05	1.38E-03
regulation of macromolecule metabolic process (GO:0060255)	6340	2762	2244.47	+	1.23	3.36E-28	2.53E-25
regulation of signaling (GO:0023051)	3545	1544	1254.99	+	1.23	1.06E-13	2.02E-11
organonitrogen compound biosynthetic process (GO:1901566)	1379	600	488.19	+	1.23	1.51E-05	8.89E-04
negative regulation of developmental process (GO:0051093)	879	382	311.18	+	1.23	7.25E-04	2.76E-02
regulation of metabolic process (GO:0019222)	6874	2986	2433.52	+	1.23	8.08E-31	6.73E-28
positive regulation of protein phosphorylation (GO:0001934)	838	364	296.67	+	1.23	1.00E-03	3.62E-02
positive regulation of phosphorylation (GO:0042327)	921	400	326.05	+	1.23	5.93E-04	2.31E-02
regulation of programmed cell death (GO:0043067)	1532	665	542.36	+	1.23	6.61E-06	4.28E-04
central nervous system development (GO:0007417)	1000	434	354.02	+	1.23	3.41E-04	1.43E-02
regulation of localization (GO:0032879)	2753	1191	974.61	+	1.22	7.08E-10	8.48E-08
organic substance catabolic process (GO:1901575)	1769	765	626.26	+	1.22	1.65E-06	1.19E-04
regulation of apoptotic process (GO:0042981)	1493	645	528.55	+	1.22	1.48E-05	8.77E-04
positive regulation of molecular function (GO:0044093)	1618	699	572.80	+	1.22	5.50E-06	3.67E-04
cellular component organization or biogenesis (GO:0071840)	6006	2593	2126.23	+	1.22	6.37E-24	3.87E-21
cellular component organization (GO:0016043)	5783	2493	2047.29	+	1.22	2.18E-22	1.05E-19
regulation of catalytic activity (GO:0050790)	2433	1047	861.33	+	1.22	2.53E-08	2.47E-06
gene expression (GO:0010467)	2117	911	749.46	+	1.22	2.60E-07	2.05E-05
organic substance metabolic process (GO:0071704)	7840	3371	2775.50	+	1.21	4.41E-34	5.36E-31
metabolic process (GO:0008152)	8313	3568	2942.95	+	1.21	7.97E-37	1.40E-33
regulation of multicellular organismal development (GO:2000026)	1332	571	471.55	+	1.21	8.85E-05	4.34E-03
regulation of cell death (GO:0010941)	1668	715	590.50	+	1.21	1.01E-05	6.24E-04
positive regulation of signal transduction (GO:0009967)	1584	678	560.76	+	1.21	1.96E-05	1.13E-03
nervous system development (GO:0007399)	2218	949	785.21	+	1.21	2.82E-07	2.21E-05
negative regulation of biological process (GO:0048519)	5501	2353	1947.45	+	1.21	2.47E-19	8.14E-17
positive regulation of signaling (GO:0023056)	1761	753	623.43	+	1.21	6.83E-06	4.39E-04
generation of neurons (GO:0048699)	1271	543	449.96	+	1.21	1.90E-04	8.44E-03
regulation of gene expression (GO:0010468)	4922	2102	1742.48	+	1.21	1.63E-16	4.35E-14
neurogenesis (GO:0022008)	1391	594	492.44	+	1.21	8.71E-05	4.29E-03
regulation of transport (GO:0051049)	1772	756	627.32	+	1.21	8.96E-06	5.64E-04
positive regulation of cell communication (GO:0010647)	1755	748	621.30	+	1.20	1.14E-05	6.94E-04
regulation of cellular component movement (GO:0051270)	1032	439	365.35	+	1.20	1.10E-03	3.91E-02
positive regulation of biological process (GO:0048518)	6331	2677	2241.29	+	1.19	1.37E-20	5.26E-18
positive regulation of developmental process (GO:0051094)	1271	537	449.96	+	1.19	4.38E-04	1.79E-02
cellular response to endogenous stimulus (GO:0071495)	1152	486	407.83	+	1.19	9.50E-04	3.48E-02
regulation of molecular function (GO:0065009)	3118	1315	1103.83	+	1.19	9.30E-09	9.61E-07
response to endogenous stimulus (GO:0009719)	1426	597	504.83	+	1.18	4.28E-04	1.76E-02
anatomical structure morphogenesis (GO:0009653)	2158	899	763.97	+	1.18	1.72E-05	1.01E-03
negative regulation of response to stimulus (GO:0048585)	1831	759	648.21	+	1.17	1.42E-04	6.58E-03
vesicle-mediated transport (GO:0016192)	1969	814	697.06	+	1.17	1.01E-04	4.85E-03
regulation of cell population proliferation (GO:0042127)	1654	683	585.55	+	1.17	4.77E-04	1.93E-02
regulation of biological quality (GO:0065008)	3995	1642	1414.30	+	1.16	1.58E-08	1.58E-06
cellular response to organic substance (GO:0071310)	2344	961	829.82	+	1.16	5.15E-05	2.66E-03
regulation of multicellular organismal process (GO:0051239)	2673	1094	946.29	+	1.16	1.65E-05	9.71E-04
localization (GO:0051179)	5831	2375	2064.28	+	1.15	9.08E-12	1.33E-09
response to organic substance (GO:0010033)	3008	1223	1064.89	+	1.15	1.14E-05	6.92E-04
establishment of localization (GO:0051234)	4631	1874	1639.46	+	1.14	2.96E-08	2.82E-06
transport (GO:0006810)	4476	1797	1584.58	+	1.13	3.84E-07	2.93E-05
regulation of response to stimulus (GO:0048583)	4306	1721	1524.40	+	1.13	1.85E-06	1.33E-04
system development (GO:0048731)	4330	1714	1532.90	+	1.12	1.09E-05	6.67E-04
cellular response to chemical stimulus (GO:0070887)	2914	1150	1031.61	+	1.11	8.33E-04	3.09E-02
developmental process (GO:0032502)	5797	2287	2052.24	+	1.11	2.19E-07	1.77E-05
multicellular organism development (GO:0007275)	4941	1945	1749.20	+	1.11	5.74E-06	3.79E-04
anatomical structure development (GO:0048856)	5330	2094	1886.92	+	1.11	2.77E-06	1.93E-04
regulation of cellular process (GO:0050794)	11351	4398	4018.46	+	1.09	1.23E-14	2.66E-12
regulation of biological process (GO:0050789)	11898	4588	4212.11	+	1.09	1.26E-14	2.70E-12
biological regulation (GO:0065007)	12568	4826	4449.30	+	1.08	4.10E-15	9.12E-13
cellular process (GO:0009987)	15495	5903	5485.51	+	1.08	6.09E-24	3.85E-21
biological_process (GO:0008150)	17851	6648	6319.57	+	1.05	2.59E-25	1.86E-22
immune system process (GO:0002376)	2903	916	1027.71	-	.89	1.07E-03	3.82E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	474	563.95	-	.84	4.90E-04	1.98E-02
positive regulation of immune system process (GO:0002684)	1069	308	378.45	-	.81	9.55E-04	3.48E-02
response to biotic stimulus (GO:0009607)	1547	445	547.67	-	.81	5.11E-05	2.65E-03
regulation of immune response (GO:0050776)	1183	340	418.80	-	.81	4.46E-04	1.81E-02
response to other organism (GO:0051707)	1425	395	504.48	-	.78	5.96E-06	3.90E-04
response to external biotic stimulus (GO:0043207)	1426	395	504.83	-	.78	5.97E-06	3.88E-04
immune response (GO:0006955)	2075	561	734.59	-	.76	1.34E-09	1.55E-07
negative regulation of response to external stimulus (GO:0032102)	559	148	197.90	-	.75	1.32E-03	4.51E-02
positive regulation of immune response (GO:0050778)	747	196	264.45	-	.74	1.18E-04	5.54E-03
defense response (GO:0006952)	1426	372	504.83	-	.74	2.77E-08	2.65E-06
system process (GO:0003008)	2057	522	728.21	-	.72	2.35E-13	4.23E-11
immune response-regulating signaling pathway (GO:0002764)	495	123	175.24	-	.70	2.97E-04	1.26E-02
regulation of immune effector process (GO:0002697)	435	108	154.00	-	.70	6.56E-04	2.52E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	122	174.18	-	.70	2.85E-04	1.21E-02
defense response to other organism (GO:0098542)	1038	257	367.47	-	.70	7.18E-08	6.21E-06
activation of immune response (GO:0002253)	530	131	187.63	-	.70	1.37E-04	6.34E-03
negative regulation of defense response (GO:0031348)	402	98	142.32	-	.69	6.82E-04	2.61E-02
innate immune response (GO:0045087)	848	204	300.21	-	.68	2.01E-07	1.65E-05
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	108	161.08	-	.67	1.03E-04	4.93E-03
immune response-activating signal transduction (GO:0002757)	455	108	161.08	-	.67	1.03E-04	4.92E-03
Unclassified (UNCLASSIFIED)	2744	643	971.43	-	.66	2.59E-25	1.78E-22
epidermis development (GO:0008544)	422	97	149.40	-	.65	6.52E-05	3.28E-03
regulation of inflammatory response (GO:0050727)	518	118	183.38	-	.64	5.89E-06	3.88E-04
leukocyte migration (GO:0050900)	379	86	134.17	-	.64	9.95E-05	4.81E-03
response to bacterium (GO:0009617)	721	163	255.25	-	.64	4.75E-08	4.24E-06
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	57	91.34	-	.62	7.85E-04	2.94E-02
skin development (GO:0043588)	385	85	136.30	-	.62	4.31E-05	2.28E-03
negative regulation of inflammatory response (GO:0050728)	320	66	113.29	-	.58	2.52E-05	1.42E-03
nervous system process (GO:0050877)	1416	290	501.29	-	.58	2.80E-20	1.01E-17
positive regulation of B cell activation (GO:0050871)	171	34	60.54	-	.56	1.36E-03	4.63E-02
cell killing (GO:0001906)	126	22	44.61	-	.49	1.33E-03	4.55E-02
myeloid leukocyte migration (GO:0097529)	124	21	43.90	-	.48	8.68E-04	3.21E-02
epidermal cell differentiation (GO:0009913)	322	54	113.99	-	.47	4.28E-08	3.89E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	45	95.23	-	.47	5.40E-07	4.08E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1305	206	461.99	-	.45	1.18E-33	1.33E-30
membrane invagination (GO:0010324)	148	23	52.39	-	.44	7.50E-05	3.73E-03
cell recognition (GO:0008037)	241	37	85.32	-	.43	2.15E-07	1.74E-05
lymphocyte mediated immunity (GO:0002449)	259	39	91.69	-	.43	4.25E-08	3.89E-06
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	30	73.64	-	.41	3.75E-07	2.88E-05
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	31	78.59	-	.39	7.65E-08	6.57E-06
sensory perception (GO:0007600)	979	136	346.58	-	.39	3.52E-31	3.09E-28
production of molecular mediator of immune response (GO:0002440)	141	19	49.92	-	.38	1.22E-05	7.37E-04
plasma membrane invagination (GO:0099024)	141	19	49.92	-	.38	1.22E-05	7.34E-04
cornification (GO:0070268)	113	15	40.00	-	.37	1.06E-04	5.03E-03
immunoglobulin production (GO:0002377)	138	18	48.85	-	.37	9.35E-06	5.87E-04
adaptive immune response (GO:0002250)	658	85	232.94	-	.36	1.71E-23	1.00E-20
defense response to bacterium (GO:0042742)	350	44	123.91	-	.36	1.74E-13	3.16E-11
antimicrobial humoral response (GO:0019730)	154	19	54.52	-	.35	1.31E-06	9.64E-05
keratinocyte differentiation (GO:0030216)	270	33	95.58	-	.35	6.40E-11	8.36E-09
regulation of humoral immune response (GO:0002920)	142	17	50.27	-	.34	1.88E-06	1.34E-04
B cell mediated immunity (GO:0019724)	205	24	72.57	-	.33	5.71E-09	6.01E-07
immunoglobulin mediated immune response (GO:0016064)	201	23	71.16	-	.32	4.02E-09	4.35E-07
humoral immune response (GO:0006959)	386	43	136.65	-	.31	8.05E-17	2.27E-14
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	7	23.72	-	.30	4.97E-04	2.00E-02
killing of cells of other organism (GO:0031640)	87	9	30.80	-	.29	6.00E-05	3.03E-03
phagocytosis, engulfment (GO:0006911)	132	13	46.73	-	.28	3.18E-07	2.46E-05
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	10	36.11	-	.28	7.12E-06	4.54E-04
detection of stimulus (GO:0051606)	721	70	255.25	-	.27	1.92E-35	2.76E-32
regulation of complement activation (GO:0030449)	118	11	41.77	-	.26	5.83E-07	4.39E-05
keratinization (GO:0031424)	227	18	80.36	-	.22	7.56E-14	1.48E-11
sensory perception of taste (GO:0050909)	69	5	24.43	-	.20	2.94E-05	1.61E-03
B cell receptor signaling pathway (GO:0050853)	129	9	45.67	-	.20	4.35E-09	4.65E-07
peptide cross-linking (GO:0018149)	102	7	36.11	-	.19	1.59E-07	1.32E-05
complement activation (GO:0006956)	177	10	62.66	-	.16	1.40E-13	2.60E-11
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	8	58.41	-	.14	1.05E-13	2.02E-11
complement activation, classical pathway (GO:0006958)	161	7	57.00	-	.12	7.06E-14	1.40E-11
detection of stimulus involved in sensory perception (GO:0050906)	557	22	197.19	-	.11	1.03E-47	2.71E-44
phagocytosis, recognition (GO:0006910)	106	3	37.53	-	.08	8.24E-11	1.07E-08
sensory perception of bitter taste (GO:0050913)	41	1	14.51	-	.07	6.72E-05	3.36E-03
sensory perception of chemical stimulus (GO:0007606)	543	13	192.23	-	.07	1.76E-54	6.96E-51
sensory perception of smell (GO:0007608)	468	8	165.68	-	.05	2.13E-50	6.75E-47
detection of chemical stimulus (GO:0009593)	522	8	184.80	-	.04	2.06E-57	1.08E-53
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	12.74	-	 < 0.01	2.85E-05	1.58E-03
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	14.87	-	 < 0.01	4.08E-06	2.79E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	156.12	-	 < 0.01	3.71E-59	2.93E-55
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	172.05	-	 < 0.01	3.97E-65	6.28E-61
opsonization (GO:0008228)	72	0	25.49	-	 < 0.01	4.17E-10	5.11E-08
